MLG_ZA						uni1896
MLG_ZA.init					uni1896.init
MLG_ZA.medi					uni1896.medi
MLG_AN						uni1897
MLTG_TA						uni1898
MLTG_ZHA					uni1899
MLMG_GHA					uni189A
MLMG_GHA.init				uni189A.init
MLMG_GHA.medi				uni189A.medi
MLMG_NGA					uni189B
MLMG_NGA.init				uni189B.init
MLMG_NGA.medi				uni189B.medi
MLMG_CA						uni189C
MLMG_CA.init				uni189C.init
MLMG_CA.medi				uni189C.medi
MLMG_JHA					uni189D
MLMG_JHA.init				uni189D.init
MLMG_JHA.medi				uni189D.medi
MLMG_TTA					uni189E
MLMG_TTA.init				uni189E.init
MLMG_TTA.medi				uni189E.medi
MLMG_DDHA					uni189F
MLMG_DDHA.init				uni189F.init
MLMG_DDHA.medi				uni189F.medi
MLMG_TA						uni18A0
MLMG_DHA					uni18A1
MLMG_DHA.init				uni18A1.init
MLMG_DHA.medi				uni18A1.medi
MLMG_SSA					uni18A2
MLMG_SSA.init				uni18A2.init
MLMG_SSA.medi				uni18A2.medi
MLMG_CYA					uni18A3
MLMG_CYA.init				uni18A3.init
MLMG_CYA.medi				uni18A3.medi
MLMG_ZHA					uni18A4
MLMG_ZHA.init				uni18A4.init
MLMG_ZHA.medi				uni18A4.medi
MLMG_ZA						uni18A5
MLMG_ZA.init				uni18A5.init
MLMG_ZA.medi				uni18A5.medi
MLG_HALF_U					uni18A6
MLG_HALF_YA					uni18A7
MLMG_BHA					uni18A8
MLG_DAGALGA					uni18A9
MLMG_LHA					uni18AA
